vcf_order,isolate,isolate_vcf,label_raxml_ng,location_full,lon,lat,Region,region_noaa,region_IPCC,Country,Location,State_Department,Host,municipality_resolution,Municipality,field,clade,subclade,Genetic_Cluster,source,comments,ClimZ_code,ClimZ,description,RGB
80,TN280,TN280_R1,TN280,Kentucky,-84.27,37.839,South,Central,ENA,US,Central US,KY,Soybean,no,Unknown,Unknown,US,US1,US1A,A. Mengistu. Obtained from Kiersten Wise,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
81,TN380,TN380_R1,TN380,"Stoneville, Mississippi",-90.932,33.424,South,South,CNA,US,South US,MS,Soybean,yes,"Stoneville, Mississippi",Unknown,US,US1,US1B,A. Mengistu. Obtained from Kiersten Wise,2009,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
82,TN4,TN4_R1,TN4,"Jackson, Tennessee",-88.846,35.622,South,Central,ENA,US,Central US,TN,Soybean,yes,"Jackson, Tennessee",Unknown,US,US1,US1A,A. Mengistu. Obtained from Kiersten Wise,2006,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
83,TN501,TN501_R1,TN501,Louisiana,-91.962,30.984,South,South,CNA,US,South US,LA,Soybean,no,Unknown,Unknown,COLPR,COLPR2,COLPR2,A. Mengistu. Obtained from Kiersten Wise,,14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
84,TN550,TN550_R1,TN550,Texas,-99.902,31.969,South,South,CNA,US,South US,TX,Soybean,no,Unknown,Unknown,US,US2,US2,A. Mengistu. Obtained from Kiersten Wise,,6,BSh,"Arid, steppe, hot",[245 165 0]
85,TN5,TN5_R1,TN5,"Ames, Tennessee",-89.862,35.418,South,Central,ENA,US,Central US,TN,Soybean,yes,"Ames, TN",Unknown,US,US1,US1A,A. Mengistu. Obtained from Kiersten Wise,"2006. Used AMES AGRESEARCH AND EDUCATION CENTER (Grand Junction, TN) for lat and lon",14,Cfa,"Temperate, no dry season, hot summer",[200 255 80]
86,UPR_Mph_ISA2,UPR_Mph_ISA2_R1,UPR_ISA2,"Isabela, Puerto Rico",-67.056,18.462,Puerto Rico,Puerto Rico,CAR,PR,Puerto Rico,ISA,Dry bean,yes,"Isabela, PR",Unknown,COLPR,COLPR1,COLPR1,Consuelo Estevez De Jensen - UPR,,1,Af,"Tropical, rainforest",[0 0 255]
87,UPR_Mph_ISA3,UPR_Mph_ISA3_R1,UPR_ISA3,"Isabela, Puerto Rico",-67.056,18.462,Puerto Rico,Puerto Rico,CAR,PR,Puerto Rico,ISA,Dry bean,yes,"Isabela, PR",Unknown,COLPR,COLPR2,COLPR2,Consuelo Estevez De Jensen - UPR,,1,Af,"Tropical, rainforest",[0 0 255]
88,UPR_Mph_JD1,UPR_Mph_JD1_R1,UPR_JD1,"Juana Diaz, Puerto Rico",-66.518,18.019,Puerto Rico,Puerto Rico,CAR,PR,Puerto Rico,JD,Dry bean,yes,"Juana Diaz, PR",Unknown,COLPR,COLPR1,COLPR1,Consuelo Estevez De Jensen - UPR,,3,Aw,"Tropical, savannah",[70 170 250]
89,UPR_Mph_JD2,UPR_Mph_JD2_R1,UPR_JD2,"Juana Diaz, Puerto Rico",-66.518,18.019,Puerto Rico,Puerto Rico,CAR,PR,Puerto Rico,JD,Dry bean,yes,"Juana Diaz, PR",Unknown,COLPR,COLPR1,COLPR1,Consuelo Estevez De Jensen - UPR,,3,Aw,"Tropical, savannah",[70 170 250]
90,UPR_Mph_JD3,UPR_Mph_JD3_R1,UPR_JD3,"Juana Diaz, Puerto Rico",-66.518,18.019,Puerto Rico,Puerto Rico,CAR,PR,Puerto Rico,JD,Dry bean,yes,"Juana Diaz, PR",Unknown,COLPR,COLPR1,COLPR1,Consuelo Estevez De Jensen - UPR,,3,Aw,"Tropical, savannah",[70 170 250]
91,W12_6,W12_6_R1,W12_6,"Hamilton, MI",-85.999,42.671,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Hamilton, MI",Unknown,US,US2,US2,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
92,W23,W23_R1,W23,"Pewamo, MI ",-84.847,43.001,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Pewamo, MI ",Unknown,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
93,W25,W25_R1,W25,"Hamilton, MI",-85.999,42.671,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Hamilton, MI",Unknown,US,US2,US2,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
94,W3_5,W3_5_R1,W3_5,"Hamilton, MI",-85.999,42.671,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Hamilton, MI",Unknown,US,US2,US2,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
95,W_MISO2_3_6,W_MISO2_3_6_R1,WMISO2_3_6,"Corner 54th 136th ave Hamilton, MI",-86.1,42.7,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Hamilton, MI",14,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
96,W_MISO2_4_10,W_MISO2_4_10_R1,WMISO2_4_10,"Portland Rd Jordan lake rd, MI",-85.1,42.9,North,Midwest,ENA,US,Midwest US,MI,Soybean,yes,"Berlin, MI",15,US,US1,US1A,M. Chilvers,,25,Dfa,"Cold, no dry season, hot summer",[0 255 255]
