"","vcf_order","isolate","isolate_vcf","label_raxml","location","lon","lat","Region","region_noaa","region_IPCC","Country","Location","State_Department","Host","municipality_resolution","Municipality","field","clade","subclade","Genetic_Cluster","source","comments","google_maps","rndCoord.lon","rndCoord.lat","ClimateZ","ClimateZ.1"
"43",44,"M_15_4 ","M_15_4_R1","M_15_4_R1","692 Freeland Rd, Merrill, MI ",-84.343,43.525,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","9","US","US2","US2","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"44",45,"M_15_5 ","M_15_5_R1","M_15_5_R1","692 Freeland Rd, Merrill, MI ",-84.343,43.525,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","9","US","US1","US1A","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"45",46,"M_15_6 ","M_15_6_R1","M_15_6_R1","692 Freeland Rd, Merrill, MI ",-84.342,43.525,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","9","US","US1","US1A","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"46",47,"M_15_7 ","M_15_7_R1","M_15_7_R1","692 Freeland Rd, Merrill, MI ",-84.342,43.525,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","9","US","US1","US1A","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"47",48,"M_15_8 ","M_15_8_R1","M_15_8_R1","692 Freeland Rd, Merrill, MI ",-84.342,43.525,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","9","US","US1","US1A","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"48",49,"M_15_9 ","M_15_9_R1","M_15_9_R1","700 E. Kent Rd, Merrill, MI",-84.339,43.511,"North","Midwest","ENA","US","Midwest US","MI","Dry bean","yes","Merrill, MI ","6","US","US1","US1A","M. Chilvers","","",-84.3472222222222,43.5138888888889,"Dfb",25
"49",50,"Md10 ","Md10_R1","Md10_R1","Muscoda, WI",-90.443,43.185,"North","Midwest","CNA","US","Midwest US","WI","Soybean","yes","Muscoda, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-90.4305555555556,43.1805555555556,"Dfa",25
"50",51,"Md3 ","Md3_R1","Md3_R1","Muscoda, WI",-90.443,43.185,"North","Midwest","CNA","US","Midwest US","WI","Soybean","yes","Muscoda, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-90.4305555555556,43.1805555555556,"Dfa",25
"51",52,"Md5 ","Md5_R1","Md5_R1","Muscoda, WI",-90.443,43.185,"North","Midwest","CNA","US","Midwest US","WI","Soybean","yes","Muscoda, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-90.4305555555556,43.1805555555556,"Dfa",25
"52",53,"Md6 ","Md6_R1","Md6_R1","Muscoda, WI",-90.443,43.185,"North","Midwest","CNA","US","Midwest US","WI","Soybean","yes","Muscoda, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-90.4305555555556,43.1805555555556,"Dfa",25
"53",54,"Md7 ","Md7_R1","Md7_R1","Muscoda, WI",-90.443,43.185,"North","Midwest","CNA","US","Midwest US","WI","Soybean","yes","Muscoda, WI","Unknown","US","US1","US1A","T. Hughes. Obtained from Kiersten Wise","","",-90.4305555555556,43.1805555555556,"Dfa",25
